,,,,,,
Table,Column,Constraints,Description,Source ,,
IMMiGRATION (FACT),,,,,,
,id,Primary Key,Id,I94_SAS_Labels_Descriptions.SAS,,
,year,,4 digit year,,,
,month,,Numeric month,,,
,country_code,Foreign Key ,the valid and invalid codes for processing the passenger’s arrival country.,,,
,airport_code,Foreign Key,the valid and invalid codes for airport code,,,
,arrival_date,,Arrival Date in the USA. It is a SAS date numeric field that a   permament format has not been applied.,,,
,arrival_mode_code,Foreign Key,"Arrival Mode code example Air, sea…",,,
,us_address_code,Foreign Key,US state codes,,,
,departure_date,,Departure Date in the USA. It is a SAS date numeric field that a   permament format has not been applied.,,,
,age,,Age of Respondent in Years,,,
,visa_code,Foreign Key,Visa codes,,,
,count,,Used for summary statistics,,,
,visa_issuing_state,,Department of State where where Visa was issued,,,
,us_occupation,,Occupation that will be performed in U.S. ,,,
,gender,,Gender,,,
,airline,,Airline used to arrive in U.S,,,
,flight_number,,Flight number of Airline used to arrive in U.S.,,,
,visa_type_code,,Class of admission legally admitting the non-immigrant to temporarily stay in U.S.,,,
